Date,TV,newspaper,radio,sales
1/1/2018,230100000,69200000,37800000,22100000
1/2/2018,44500000,45100000,39300000,10400000
1/3/2018,17200000,69300000,45900000,9300000
1/4/2018,151500000,58500000,41300000,18500000
1/5/2018,180800000,58400000,10800000,12900000
1/6/2018,8700000,75000000,48900000,7200000
1/7/2018,57500000,23500000,32800000,11800000
1/8/2018,120200000,11600000,19600000,13200000
1/9/2018,8600000,1000000,2100000,4800000
1/10/2018,199800000,21200000,2600000,10600000
1/11/2018,66100000,24200000,5800000,8600000
1/12/2018,214700000,4000000,24000000,17400000
1/13/2018,23800000,65900000,35100000,9200000
1/14/2018,97500000,7200000,7600000,9700000
1/15/2018,204100000,46000000,32900000,19000000
1/16/2018,195400000,52900000,47700000,22400000
1/17/2018,67800000,114000000,36600000,12500000
1/18/2018,281400000,55800000,39600000,24400000
1/19/2018,69200000,18300000,20500000,11300000
1/20/2018,147300000,19100000,23900000,14600000
1/21/2018,218400000,53400000,27700000,18000000
1/22/2018,237400000,23500000,5100000,12500000
1/23/2018,13200000,49600000,15900000,5600000
1/24/2018,228300000,26200000,16900000,15500000
1/25/2018,62300000,18300000,12600000,9700000
1/26/2018,262900000,19500000,3500000,12000000
1/27/2018,142900000,12600000,29300000,15000000
1/28/2018,240100000,22900000,16700000,15900000
1/29/2018,248800000,22900000,27100000,18900000
1/30/2018,70600000,40800000,16000000,10500000
1/31/2018,292900000,43200000,28300000,21400000
2/1/2018,112900000,38600000,17400000,11900000
2/2/2018,97200000,30000000,1500000,9600000
2/3/2018,265600000,300000,20000000,17400000
2/4/2018,95700000,7400000,1400000,9500000
2/5/2018,290700000,8500000,4100000,12800000
2/6/2018,266900000,5000000,43800000,25400000
2/7/2018,74700000,45700000,49400000,14700000
2/8/2018,43100000,35100000,26700000,10100000
2/9/2018,228000000,32000000,37700000,21500000
2/10/2018,202500000,31600000,22300000,16600000
2/11/2018,177000000,38700000,33400000,17100000
2/12/2018,293600000,1800000,27700000,20700000
2/13/2018,206900000,26400000,8400000,12900000
2/14/2018,25100000,43300000,25700000,8500000
2/15/2018,175100000,31500000,22500000,14900000
2/16/2018,89700000,35700000,9900000,10600000
2/17/2018,239900000,18500000,41500000,23200000
2/18/2018,227200000,49900000,15800000,14800000
2/19/2018,66900000,36800000,11700000,9700000
2/20/2018,199800000,34600000,3100000,11400000
2/21/2018,100400000,3600000,9600000,10700000
2/22/2018,216400000,39600000,41700000,22600000
2/23/2018,182600000,58700000,46200000,21200000
2/24/2018,262700000,15900000,28800000,20200000
2/25/2018,198900000,60000000,49400000,23700000
2/26/2018,7300000,41400000,28100000,5500000
2/27/2018,136200000,16600000,19200000,13200000
