DATE,HOUSTNSA
1/1/1959,96.2
2/1/1959,99
3/1/1959,127.7
4/1/1959,150.8
5/1/1959,152.5
6/1/1959,147.8
7/1/1959,148.1
8/1/1959,138.2
9/1/1959,136.4
10/1/1959,120
11/1/1959,104.7
12/1/1959,95.6
1/1/1960,86
2/1/1960,90.7
3/1/1960,90.5
4/1/1960,123
5/1/1960,130.2
6/1/1960,122.8
7/1/1960,114.3
8/1/1960,130.3
9/1/1960,96.9
10/1/1960,110.4
11/1/1960,92.8
12/1/1960,64.2
1/1/1961,70.4
2/1/1961,74.1
3/1/1961,104.2
4/1/1961,112.8
5/1/1961,127.6
6/1/1961,134.8
7/1/1961,126.6
8/1/1961,127.1
9/1/1961,125.4
10/1/1961,124.8
11/1/1961,103
12/1/1961,82.2
1/1/1962,81.2
2/1/1962,77.1
3/1/1962,116.2
4/1/1962,147.8
5/1/1962,155.2
6/1/1962,136.8
7/1/1962,136.5
8/1/1962,147.7
9/1/1962,114.3
10/1/1962,135.2
11/1/1962,120.9
12/1/1962,93.9
1/1/1963,79
2/1/1963,89.6
3/1/1963,124.8
4/1/1963,164.2
5/1/1963,172.7
6/1/1963,154.2
7/1/1963,151.3
8/1/1963,144
9/1/1963,143.7
10/1/1963,165.3
11/1/1963,119.3
12/1/1963,95
1/1/1964,97.9
2/1/1964,101.3
3/1/1964,129.1
4/1/1964,147.1
5/1/1964,152.8
6/1/1964,157.2
7/1/1964,140.6
8/1/1964,138.3
9/1/1964,119.8
10/1/1964,141.2
11/1/1964,110.6
12/1/1964,93
1/1/1965,81.7
2/1/1965,80.9
3/1/1965,119.9
4/1/1965,148.6
5/1/1965,153.3
6/1/1965,151.8
7/1/1965,139.1
8/1/1965,128.3
9/1/1965,124.6
10/1/1965,133.1
11/1/1965,110.5
12/1/1965,101.1
1/1/1966,79.4
2/1/1966,76.2
3/1/1966,118.1
4/1/1966,140.9
5/1/1966,130
6/1/1966,120.6
7/1/1966,99.2
8/1/1966,101.8
9/1/1966,89.1
10/1/1966,76.6
11/1/1966,72.8
12/1/1966,60.2
1/1/1967,59.1
2/1/1967,61.4
3/1/1967,91.5
4/1/1967,113.7
5/1/1967,132
6/1/1967,125.4
7/1/1967,125.3
8/1/1967,127.4
9/1/1967,121.9
10/1/1967,135.4
11/1/1967,118.4
12/1/1967,80.1
1/1/1968,80.5
2/1/1968,84.6
3/1/1968,126.6
4/1/1968,162
5/1/1968,140.9
6/1/1968,137.9
7/1/1968,139.8
8/1/1968,136.6
9/1/1968,134.2
10/1/1968,140.8
11/1/1968,127.1
12/1/1968,96.4
1/1/1969,101.5
2/1/1969,90.1
3/1/1969,131.9
4/1/1969,159
5/1/1969,155.5
6/1/1969,147.3
7/1/1969,125.2
8/1/1969,124.9
9/1/1969,129.3
10/1/1969,123.4
11/1/1969,94.6
12/1/1969,84.1
1/1/1970,66.4
2/1/1970,74.3
3/1/1970,114.7
4/1/1970,128.4
5/1/1970,125
6/1/1970,135.2
7/1/1970,140.8
8/1/1970,128.7
9/1/1970,130.9
10/1/1970,140.9
11/1/1970,126.9
12/1/1970,121.4
1/1/1971,110.6
2/1/1971,102.2
3/1/1971,167.9
4/1/1971,201.1
5/1/1971,198.5
6/1/1971,193.8
7/1/1971,194.3
8/1/1971,204.5
9/1/1971,173.8
10/1/1971,179.7
11/1/1971,173.7
12/1/1971,152.1
1/1/1972,149.1
2/1/1972,152.2
3/1/1972,203.9
4/1/1972,211.6
5/1/1972,225.8
6/1/1972,223.1
7/1/1972,206.5
8/1/1972,228.6
9/1/1972,203
10/1/1972,216.5
11/1/1972,185.7
12/1/1972,150.5
1/1/1973,146.6
2/1/1973,138
3/1/1973,200
4/1/1973,205
5/1/1973,234
6/1/1973,202.6
7/1/1973,202.6
8/1/1973,197.2
9/1/1973,148.4
10/1/1973,147.1
11/1/1973,133.3
12/1/1973,90.4
1/1/1974,84.5
2/1/1974,109.4
3/1/1974,124.8
4/1/1974,159.5
5/1/1974,149
6/1/1974,147.6
7/1/1974,126.6
8/1/1974,111.1
9/1/1974,98.3
10/1/1974,96.7
11/1/1974,75.1
12/1/1974,55.1
1/1/1975,56.1
2/1/1975,54.7
3/1/1975,80.2
4/1/1975,97.9
5/1/1975,116.1
6/1/1975,110.3
7/1/1975,119.3
8/1/1975,117.3
9/1/1975,111.9
10/1/1975,123.6
11/1/1975,96.9
12/1/1975,76.1
1/1/1976,72.5
2/1/1976,89.9
3/1/1976,118.4
4/1/1976,137.2
5/1/1976,147.9
6/1/1976,154.2
7/1/1976,136.6
8/1/1976,145.9
9/1/1976,151.8
10/1/1976,148.4
11/1/1976,127.1
12/1/1976,107.4
1/1/1977,81.3
2/1/1977,112.5
3/1/1977,173.6
4/1/1977,182.2
5/1/1977,201.3
6/1/1977,197.6
7/1/1977,189.8
8/1/1977,194
9/1/1977,177.7
10/1/1977,193.1
11/1/1977,154.8
12/1/1977,129.2
1/1/1978,88.6
2/1/1978,101.3
3/1/1978,172.1
4/1/1978,197.5
5/1/1978,211
6/1/1978,216
7/1/1978,192.2
8/1/1978,190.9
9/1/1978,180.5
10/1/1978,192.1
11/1/1978,158.6
12/1/1978,119.5
1/1/1979,88.2
2/1/1979,84.5
3/1/1979,152.9
4/1/1979,161
5/1/1979,189.1
6/1/1979,191.8
7/1/1979,164.2
8/1/1979,170.3
9/1/1979,163.7
10/1/1979,169
11/1/1979,118.7
12/1/1979,91.6
1/1/1980,73.1
2/1/1980,79.9
3/1/1980,85.1
4/1/1980,96.2
5/1/1980,91.7
6/1/1980,116.4
7/1/1980,120.1
8/1/1980,129.9
9/1/1980,138.3
10/1/1980,152.7
11/1/1980,112.9
12/1/1980,95.9
1/1/1981,84.5
2/1/1981,71.9
3/1/1981,107.8
4/1/1981,123
5/1/1981,109.9
6/1/1981,105.8
7/1/1981,99.9
8/1/1981,86.3
9/1/1981,84.1
10/1/1981,87.2
11/1/1981,64.6
12/1/1981,59.1
1/1/1982,47.2
2/1/1982,51.3
3/1/1982,78.2
4/1/1982,84.1
5/1/1982,98.8
6/1/1982,91.1
7/1/1982,106.8
8/1/1982,96
9/1/1982,106.4
10/1/1982,110.5
11/1/1982,108.9
12/1/1982,82.9
1/1/1983,91.3
2/1/1983,96.3
3/1/1983,134.6
4/1/1983,135.8
5/1/1983,174.9
6/1/1983,173.2
7/1/1983,161.6
8/1/1983,176.8
9/1/1983,154.9
10/1/1983,159.3
11/1/1983,136
12/1/1983,108.3
1/1/1984,109.1
2/1/1984,130
3/1/1984,137.5
4/1/1984,172.7
5/1/1984,180.7
6/1/1984,184
7/1/1984,162.1
8/1/1984,147.4
9/1/1984,148.5
10/1/1984,152.3
11/1/1984,126.2
12/1/1984,98.9
1/1/1985,105.4
2/1/1985,95.4
3/1/1985,145
4/1/1985,175.8
5/1/1985,170.2
6/1/1985,163.2
7/1/1985,160.7
8/1/1985,160.7
9/1/1985,147.7
10/1/1985,173
11/1/1985,124.1
12/1/1985,120.5
1/1/1986,115.6
2/1/1986,107.2
3/1/1986,151
4/1/1986,188.2
5/1/1986,186.6
6/1/1986,183.6
7/1/1986,172
8/1/1986,163.8
9/1/1986,154
10/1/1986,154.8
11/1/1986,115.6
12/1/1986,113
1/1/1987,105.1
2/1/1987,102.8
3/1/1987,141.2
4/1/1987,159.3
5/1/1987,158
6/1/1987,162.9
7/1/1987,152.4
8/1/1987,143.6
9/1/1987,152
10/1/1987,139.1
11/1/1987,118.8
12/1/1987,85.4
1/1/1988,78.2
2/1/1988,90.2
3/1/1988,128.8
4/1/1988,153.2
5/1/1988,140.2
6/1/1988,150.2
7/1/1988,137
8/1/1988,136.8
9/1/1988,131.1
10/1/1988,135.1
11/1/1988,113
12/1/1988,94.2
1/1/1989,100.1
2/1/1989,85.8
3/1/1989,117.8
4/1/1989,129.4
5/1/1989,131.7
6/1/1989,143.2
7/1/1989,134.7
8/1/1989,122.4
9/1/1989,109.3
10/1/1989,130.1
11/1/1989,96.6
12/1/1989,75
1/1/1990,99.2
2/1/1990,86.9
3/1/1990,108.5
4/1/1990,119
5/1/1990,121.1
6/1/1990,117.8
7/1/1990,111.2
8/1/1990,102.8
9/1/1990,93.1
10/1/1990,94.2
11/1/1990,81.4
12/1/1990,57.4
1/1/1991,52.5
2/1/1991,59.1
3/1/1991,73.8
4/1/1991,99.7
5/1/1991,97.7
6/1/1991,103.4
7/1/1991,103.5
8/1/1991,94.7
9/1/1991,86.6
10/1/1991,101.8
11/1/1991,75.6
12/1/1991,65.6
1/1/1992,71.6
2/1/1992,78.8
3/1/1992,111.6
4/1/1992,107.6
5/1/1992,115.2
6/1/1992,117.8
7/1/1992,106.2
8/1/1992,109.9
9/1/1992,106
10/1/1992,111.8
11/1/1992,84.5
12/1/1992,78.6
1/1/1993,70.5
2/1/1993,74.6
3/1/1993,95.5
4/1/1993,117.8
5/1/1993,120.9
6/1/1993,128.5
7/1/1993,115.3
8/1/1993,121.8
9/1/1993,118.5
10/1/1993,123.3
11/1/1993,102.3
12/1/1993,98.7
1/1/1994,76.2
2/1/1994,83.5
3/1/1994,134.3
4/1/1994,137.6
5/1/1994,148.8
6/1/1994,136.4
